"date","description","original_description","amount","transaction_type","category","account_name","labels","notes"
"3/12/2020","Amazon","Amazon.com*UZ8HJ6JC3 Amzn.com/bi","128.35","debit","Shopping","PREMIER PLUS CKG","",""
"3/12/2020","Venmo","VENMO            PAYMENT    3224","300.00","debit","Amusement","PREMIER PLUS CKG","","Kendall"
"3/11/2020","CHECK 227","CHECK","1575.00","debit","Mortgage & Rent","PREMIER PLUS CKG","",""
"3/11/2020","SHAKER AND SPEAR SEATTLE WA 03/10","SHAKER AND SPEAR SEATTLE WA","15.59","debit","Restaurants","PREMIER PLUS CKG","",""
"3/10/2020","Flying Bike","FLYING BIKE COOPERATIVE SEATTLE","10.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"3/10/2020","Pane Pane Sandwiches","PANE PANE SANDWICHES SEATTLE WA","12.10","debit","Restaurants","PREMIER PLUS CKG","",""
"3/10/2020","Cash","ATM WITHDRAWAL","60.00","debit","Entertainment","PREMIER PLUS CKG","",""
"3/10/2020","Vimo Prefund Ccd","VIMO INC         PREFUND","2106.00","credit","Income","BUS COMPLETE CHK","",""
"3/09/2020","CAFFE VITA Seattle WA 03/07","SQ *CAFFE VITA Seattle WA","15.23","debit","Coffee Shops","PREMIER PLUS CKG","",""
"3/09/2020","SINBAD EXPRESS Seattle WA 03/07","SQ *SINBAD EXPRESS Seattle WA","11.50","debit","Restaurants","PREMIER PLUS CKG","",""
"3/09/2020","Flying Bike","FLYING BIKE COOPERATIVE SEATTLE","15.07","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"3/09/2020","SEATTLE METER PARKING SEATTLE WA 03/07","SEATTLE METER PARKING SEATTLE WA","5.00","debit","Parking","PREMIER PLUS CKG","",""
"3/09/2020","Merchant's Cafe LLC","MERCHANTS CAFE & SALOON SEATTLE","14.63","debit","Restaurants","PREMIER PLUS CKG","",""
"3/09/2020","BK OF AMER VISA ONLINE payment CKF9 58241099POS WEB ID: 9500000000","BK OF AMER VISA  ONLINE PMT CKF9","372.16","debit","Credit Card Payment","PREMIER PLUS CKG","",""
"3/09/2020","FREMONT VINTAGE MALL SEATTLE WA 03/08","FREMONT VINTAGE MALL SEATTLE WA","14.31","debit","Shopping","PREMIER PLUS CKG","",""
"3/09/2020","Google","GOOGLE *Google Fi g.co/helppay#","58.76","debit","Mobile Phone","PREMIER PLUS CKG","",""
"3/09/2020","Wendy's","WENDYS 1532 SEATTLE WA","12.85","debit","Restaurants","PREMIER PLUS CKG","",""
"3/09/2020","Arco","ARCO#06209MATR SEATTLE WA","6.43","debit","Gas & Fuel","PREMIER PLUS CKG","",""
"3/09/2020","AURORA 76 SEATTLE WA 03/07","AURORA 76 SEATTLE WA","19.06","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"3/09/2020","Fred Meyer","FRED MEYER 0122 SEATTLE WA","5.49","debit","Groceries","PREMIER PLUS CKG","",""
"3/09/2020","Damn The Weather","DAMN THE WEATHER SEATTLE WA","42.44","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"3/06/2020","BA ELECTRONIC PAYMENT","BA ELECTRONIC PAYMENT","372.16","credit","Credit Card Payment","Alaska Airlines Visa Signature","",""
"3/05/2020","Polecat","EB POLECAT FAREWELL S 801-413-72","13.53","debit","Entertainment","PREMIER PLUS CKG","",""
"3/05/2020","CHS GREENWOOD Seattle WA 03/05","SQ *CHS GREENWOOD Seattle WA","30.56","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"3/05/2020","Cherry Street Coffee","SQ *CHERRY STREET COFFE Seattle","13.74","debit","Restaurants","PREMIER PLUS CKG","",""
"3/04/2020","CROWN HILL GROC SEATTLE WA 03/04","CROWN HILL GROC SEATTLE WA","103.06","debit","Groceries","PREMIER PLUS CKG","",""
"3/04/2020","TST* AL BASHA MEDITERRA SEATTLE WA 03/04","TST* AL BASHA MEDITERRA SEATTLE","15.51","debit","Restaurants","PREMIER PLUS CKG","",""
"3/04/2020","Urban Fare","SQ *URBAN FAMILY BALLAR SEATTLE","8.00","debit","Groceries","PREMIER PLUS CKG","",""
"3/03/2020","PEMCO Insurance","PEMCO INS PYMT   INS.PREM","169.64","debit","Auto Insurance","PREMIER PLUS CKG","",""
"3/03/2020","PEMCO Insurance","PEMCO INS PYMT   INS.PREM","9.56","debit","Home Insurance","PREMIER PLUS CKG","",""
"3/03/2020","Google","GOOGLE *Google Music 855-836-398","8.80","debit","Subscription_Service","PREMIER PLUS CKG","",""
"3/03/2020","ROAD RUNNER *VIPFAMIL 855-860-02 11 CA 03/03","ROAD RUNNER *VIPFAMIL 855-860-02","59.99","debit","Entertainment","PREMIER PLUS CKG","",""
"3/02/2020","Amazon","AMZN Mktp US*9G2J51D Amzn.com/bi","6.23","debit","Shopping","PREMIER PLUS CKG","",""
"3/02/2020","Amazon","Amazon.com*8C47T7SO3 Amzn.com/bi","44.19","debit","Shopping","PREMIER PLUS CKG","",""
"3/02/2020","Amazon","AMZN Mktp US*M11IH9Z Amzn.com/bi","10.95","debit","Shopping","PREMIER PLUS CKG","",""
"3/02/2020","CASH APP*BELLA 8774174551 CA 03/01","CASH APP*BELLA 8774174551 CA","35.00","debit","Restaurants","PREMIER PLUS CKG","",""
"3/02/2020","Farvahar Persian Cafe","FARVAHAR PERSIAN CAFE SEATTLE WA","14.75","debit","Restaurants","PREMIER PLUS CKG","",""
"3/02/2020","LYFT *RIDE SAT 12AM lyft.com C A 02/29","LYFT   *RIDE SAT 12AM lyft.com C","28.00","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"3/02/2020","TST* ELYSIAN BREWING - SEATTLE W A 02/29","TST* ELYSIAN BREWING - SEATTLE W","15.11","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"3/02/2020","Norms Eatery & Alehouse","NORMS EATERY ALEHOUSE/B SEATTLE","35.21","debit","Restaurants","PREMIER PLUS CKG","",""
"3/02/2020","Lyft","LYFT   *RIDE SAT 8PM lyft.com CA","12.00","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"3/02/2020","Blue Cross","EQT*Premera Blue Cross 800-60705","350.80","debit","Health Insurance","PREMIER PLUS CKG","",""
"3/02/2020","PHO 25 SEATTLE WA 02/28","PHO 25 SEATTLE WA","10.01","debit","Restaurants","PREMIER PLUS CKG","",""
"3/02/2020","CAROLINE?S BARBERSH SEATTLE WA 02/29","SQ *CAROLINE?S BARBERSH SEATTLE","48.00","debit","Hair","PREMIER PLUS CKG","",""
"2/28/2020","MD CLARITY LLC DIRECT DEP PPD ID: 9111111101","MD CLARITY LLC   DIRECT DEP","2328.43","credit","Paycheck","PREMIER PLUS CKG","",""
"2/27/2020","DRAFT PUNK BOTTLE SHOP SEATTLE W A 02/25","DRAFT PUNK BOTTLE SHOP SEATTLE W","14.21","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/27/2020","Amazon","Amazon.com*SO6CD0P03 Amzn.com/bi","20.69","debit","Shopping","PREMIER PLUS CKG","",""
"2/27/2020","Flying Bike","FLYING BIKE COOPERATIVE SEATTLE","17.50","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/27/2020","Amazon","AMZN Mktp US*8E8G304 Amzn.com/bi","14.30","debit","Shopping","PREMIER PLUS CKG","",""
"2/26/2020","Sisters European Snacks","SISTERS EUROPEAN CAFE SEATTLE WA","10.84","debit","Restaurants","PREMIER PLUS CKG","",""
"2/25/2020","Facebook","PAYPAL           INST XFER  FACE","50.00","debit","Charity","PREMIER PLUS CKG","","Moms Fundraiser"
"2/25/2020","Los Agaves","LOS AGAVES DINING SERV SEATTLE W","11.40","debit","Restaurants","PREMIER PLUS CKG","",""
"2/24/2020","CHECK 280","CHECK","1575.00","debit","Mortgage & Rent","PREMIER PLUS CKG","",""
"2/24/2020","FONTE CAFE - BEL BELLEVUE WA 02/23","FONTE CAFE - BEL BELLEVUE WA","4.38","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/24/2020","TST* BARRIO LUCHADOR BELLEVUE WA 02/23","TST* BARRIO LUCHADOR BELLEVUE WA","17.37","debit","Restaurants","PREMIER PLUS CKG","",""
"2/24/2020","MICHOUS SEATTLE WA 02/21","MICHOUS SEATTLE WA","13.92","debit","Restaurants","PREMIER PLUS CKG","",""
"2/24/2020","H MART SEATTLE WA 02/24","H MART SEATTLE WA","11.00","debit","Restaurants","PREMIER PLUS CKG","",""
"2/21/2020","CHS GREENWOOD Seattle WA 02/20","SQ *CHS GREENWOOD Seattle WA","23.10","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/21/2020","SEATTLE MEOWTROPOLI Seattle WA 02/20","SQ *SEATTLE MEOWTROPOLI Seattle","10.57","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/19/2020","H MART SEATTLE WA 02/19","H MART SEATTLE WA","12.39","debit","Restaurants","PREMIER PLUS CKG","",""
"2/19/2020","New York Times","PAYPAL           INST XFER  NEWY","195.00","debit","Subscription_Service","PREMIER PLUS CKG","","Paid in Paypal"
"2/18/2020","Flying Bike","FLYING BIKE COOPERATIVE BSEATTLE      WA","14.16","debit","Alcohol & Bars","Alaska Airlines Visa Signature","",""
"2/18/2020","Washington Post","PAYPAL           INST XFER  WASH","9.99","debit","Subscription_Service","PREMIER PLUS CKG","",""
"2/18/2020","Fred Meyer","FRED MEYER 0122 SEATTLE WA","36.60","debit","Groceries","PREMIER PLUS CKG","",""
"2/18/2020","Flying Bike","FLYING BIKE COOPERATIVE SEATTLE","28.80","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/18/2020","COZY NUT TAVERN SEATTLE WA 02/13","COZY NUT TAVERN SEATTLE WA","14.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/18/2020","GREENWOOD TV HARDWARE SEATTLE WA 02/15","GREENWOOD TV HARDWARE SEATTLE WA","31.25","debit","Gas & Fuel","PREMIER PLUS CKG","",""
"2/18/2020","Lofi Performance Gallery","THE LO-FI PERFORMANCE G SEATTLE","21.25","debit","Restaurants","PREMIER PLUS CKG","",""
"2/18/2020","CenturyLink","CENTURYLINK      AUTO PAY","55.00","debit","Internet","PREMIER PLUS CKG","",""
"2/18/2020","CONOR BYRNE PUB Seattle WA 02/18","SQ *CONOR BYRNE PUB Seattle WA","17.31","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/18/2020","LYFT *RIDE SAT 11PM lyft.com C A 02/17","LYFT   *RIDE SAT 11PM lyft.com C","13.00","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"2/18/2020","MONTHLY SERVICE FEE","MONTHLY SERVICE FEE","25.00","debit","Bank Fee","PREMIER PLUS CKG","",""
"2/18/2020","Amazon","Amazon.com*NY6SJ5B03 Amzn.com/bi","35.41","debit","Shopping","PREMIER PLUS CKG","",""
"2/18/2020","Netflix","PAYPAL           INST XFER  NETF","14.26","debit","Subscription_Service","PREMIER PLUS CKG","",""
"2/18/2020","LYFT *RIDE SAT 10PM lyft.com C A 02/16","LYFT   *RIDE SAT 10PM lyft.com C","13.00","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"2/18/2020","TRADE COFFEE CO DRINKTRADE.CO NY 02/15","TRADE COFFEE CO DRINKTRADE.CO NY","25.00","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/18/2020","Goodwill Industries","GOODWILL BALLARD - DIR SEATTLE W","10.53","debit","Shopping","PREMIER PLUS CKG","",""
"2/18/2020","Cash","ATM WITHDRAWAL","160.00","debit","Entertainment","PREMIER PLUS CKG","",""
"2/18/2020","INTEREST PAYMENT","INTEREST PAYMENT","0.13","credit","Interest Income","PREMIER PLUS CKG","",""
"2/14/2020","THE GRINNING YOGI SEATTLE WA 02/13","THE GRINNING YOGI SEATTLE WA","90.00","debit","Entertainment","PREMIER PLUS CKG","",""
"2/13/2020","Delta","DELTA AIR   Baggage Fee  LOUISVILLE   KY","30.00","debit","Air Travel","Alaska Airlines Visa Signature","",""
"2/13/2020","STIA PUBLIC PARKING SEATTLE WA 02/11","STIA PUBLIC PARKING SEATTLE WA","32.00","debit","Parking","PREMIER PLUS CKG","",""
"2/12/2020","USPS","USPS PO 1759840750       NEW ALBANY   IN","21.10","debit","Home Services","Alaska Airlines Visa Signature","",""
"2/12/2020","Prime Video*8U2RH6JS3 888-802-30 80 WA 02/11","Prime Video*8U2RH6JS3 888-802-30","4.39","debit","Entertainment","PREMIER PLUS CKG","",""
"2/12/2020","VENDING-CARTS&LOCKERS ST PAUL MN 02/12","VENDING-CARTS&LOCKERS ST PAUL MN","6.60","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"2/12/2020","Starbucks","STARBUCKS EVENINGS SDF LOUISVILL","3.83","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/11/2020","Vimo Prefund Ccd","VIMO INC         PREFUND","780.00","credit","Income","BUS COMPLETE CHK","",""
"2/11/2020","Keg Liquors Clarksvi","KEG LIQUORS - CLARKSVI CLARKSVIL","80.00","credit","Income","PREMIER PLUS CKG","",""
"2/11/2020","HOPCAT-LOUISVILLE LOUISVILLE KY 02/10","HOPCAT-LOUISVILLE LOUISVILLE KY","17.84","debit","Restaurants","PREMIER PLUS CKG","",""
"2/11/2020","HIGHLAND COFFEE COM Louisvil le KY 02/10","SQ *HIGHLAND COFFEE COM Louisvil","5.22","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/10/2020","TST* EARL S TAVERN NEW ALBANY IN 02/08","TST* EARL S TAVERN NEW ALBANY IN","23.00","debit","Restaurants","PREMIER PLUS CKG","",""
"2/10/2020","QUILLS COFFEE New Albany IN 02/08","SQ *QUILLS COFFEE New Albany IN","4.53","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/10/2020","Speedway","SPEEDWAY 09612 L 1101 LOUISVILLE","14.87","debit","Gas & Fuel","PREMIER PLUS CKG","",""
"2/07/2020","HOPCAT-LOUISVILLE LOUISVILLE KY","HOPCAT-LOUISVILLE        LOUISVILLE   KY","60.86","debit","Restaurants","Alaska Airlines Visa Signature","",""
"2/07/2020","COFFEE CROSSING New Albany I N 02/07","SQ *COFFEE CROSSING New Albany I","5.69","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/07/2020","BK OF AMER VISA ONLINE payment CKF9 58241099POS WEB ID: 9500000000","BK OF AMER VISA  ONLINE PMT CKF9","2538.08","debit","Credit Card Payment","PREMIER PLUS CKG","",""
"2/07/2020","TACOLICIOUS LLC New Albany I N 02/06","SQ *TACOLICIOUS LLC New Albany I","15.39","debit","Restaurants","BUS COMPLETE CHK","",""
"2/06/2020","BA ELECTRONIC PAYMENT","BA ELECTRONIC PAYMENT","2538.08","credit","Credit Card Payment","Alaska Airlines Visa Signature","",""
"2/06/2020","Airbnb","AIRBNB  HMAKSQZNTT       AIRBNB.COM   CA","246.04","debit","Hotel","Alaska Airlines Visa Signature","","Wintergrass"
"2/06/2020","QUILLS COFFEE New Albany IN 02/05","SQ *QUILLS COFFEE New Albany IN","8.22","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/06/2020","Google","GOOGLE *Google Fi g.co/helppay#","99.60","debit","Mobile Phone","PREMIER PLUS CKG","",""
"2/05/2020","Jimmy John's","JIMMY JOHNS # 691 SEATTLE WA","9.08","debit","Restaurants","PREMIER PLUS CKG","",""
"2/05/2020","Delta","DELTA AIR   Baggage Fee SEATTLE","30.00","debit","Air Travel","PREMIER PLUS CKG","",""
"2/05/2020","Amazon","Amazon.com*G90EP3AX3 Amzn.com/bi","8.55","debit","Shopping","PREMIER PLUS CKG","",""
"2/05/2020","Prime Video*CR2CV31X3 888-802-30 80 WA 02/04","Prime Video*CR2CV31X3 888-802-30","4.39","debit","Entertainment","PREMIER PLUS CKG","",""
"2/05/2020","Starbucks","STARBUCKS A CONC SEA SEATTLE WA","7.10","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/05/2020","Flying Bike","FLYING BIKE COOPERATIVE SEATTLE","8.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/04/2020","Cash","ATM WITHDRAWAL","60.00","debit","Entertainment","PREMIER PLUS CKG","",""
"2/04/2020","WA VEHICLE LICENSING 360-902-747 0 WA 02/04","WA VEHICLE LICENSING 360-902-747","178.45","debit","Auto & Transport","PREMIER PLUS CKG","",""
"2/04/2020","Google","GOOGLE*GOOGLE MUSIC INTERNET CA","8.80","debit","Subscription_Service","PREMIER PLUS CKG","",""
"2/04/2020","STOUP BREWING SEATTLE WA 02/02","STOUP BREWING SEATTLE WA","20.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/04/2020","Goodwill Industries","GOODWILL BALLARD - DIR SEATTLE W","52.83","debit","Shopping","PREMIER PLUS CKG","",""
"2/04/2020","PCC - FREMONT SEATTLE WA","PCC - FREMONT            SEATTLE      WA","29.50","debit","Groceries","Alaska Airlines Visa Signature","",""
"2/03/2020","ATM Fee","NON-CHASE ATM WITHDRAW","3.00","debit","Bank Fee","PREMIER PLUS CKG","",""
"2/03/2020","Cash","NON-CHASE ATM WITHDRAW","60.00","debit","Entertainment","PREMIER PLUS CKG","",""
"2/03/2020","Amazon","AMZN Mktp US*022YG3ZK3   Amzn.com/billWA","7.59","debit","Shopping","Alaska Airlines Visa Signature","",""
"2/03/2020","Amazon","AMZN Mktp US*NK7058ZU3   Amzn.com/billWA","29.70","debit","Shopping","Alaska Airlines Visa Signature","",""
"2/03/2020","Flying Bike","FLYING BIKE COOPERATIVE SEATTLE","10.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/03/2020","PEMCO Insurance","PEMCO INS PYMT   INS.PREM","9.56","debit","Home Insurance","PREMIER PLUS CKG","",""
"2/03/2020","MAMMOTH SEATTLE WA 02/01","MAMMOTH SEATTLE WA","22.92","debit","Restaurants","PREMIER PLUS CKG","",""
"2/03/2020","Nugs Net","NUGS.NET NUGS.NET CA","9.95","debit","Entertainment","PREMIER PLUS CKG","",""
"2/03/2020","PEMCO Insurance","PEMCO INS PYMT   INS.PREM","169.64","debit","Auto Insurance","PREMIER PLUS CKG","",""
"2/03/2020","Lyft","LYFT   *RIDE SUN 2AM LYFT.COM CA","31.00","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"2/03/2020","CHS GREENWOOD Seattle WA 02/02","SQ *CHS GREENWOOD Seattle WA","14.67","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/03/2020","Amazon","AMZN Mktp US*QB1WI5B Amzn.com/bi","36.97","debit","Shopping","PREMIER PLUS CKG","",""
"2/03/2020","SEA MONSTER LLC SEATTLE WA 02/01","SEA MONSTER LLC SEATTLE WA","43.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"2/03/2020","Starbucks","STARBUCKS STORE 00370 SEATTLE WA","3.80","debit","Coffee Shops","PREMIER PLUS CKG","",""
"2/03/2020","Goodwill Industries","GOODWILL BALLARD - DIR SEATTLE W","32.99","debit","Shopping","PREMIER PLUS CKG","",""
"2/01/2020","ONLY FANS UK","ONLY FANS                UK","3.00","debit","Amusement","Alaska Airlines Visa Signature","",""
"1/31/2020","ONLY FANS UK","ONLY FANS                UK","8.99","debit","Amusement","Alaska Airlines Visa Signature","",""
"1/31/2020","CROWN HILL GROCERY SEATTLE WA","CROWN HILL GROCERY       SEATTLE      WA","119.69","debit","Groceries","Alaska Airlines Visa Signature","",""
"1/31/2020","Fred Meyer","FRED MEYER 0122 SEATTLE WA","30.18","debit","Groceries","PREMIER PLUS CKG","",""
"1/30/2020","Starbucks","STARBUCKS EVE T6 LAX LOS ANGELES","4.16","debit","Coffee Shops","PREMIER PLUS CKG","",""
"1/29/2020","Los Angeles, CA","SUNSET NEWS ST2507 LOS ANGELES C","20.07","debit","Restaurants","PREMIER PLUS CKG","",""
"1/28/2020","Vimo Prefund Ccd","VIMO INC         PREFUND","1638.00","credit","Income","BUS COMPLETE CHK","",""
"1/25/2020","Airbnb","AIRBNB  HMSFSCYJ8B       AIRBNB.COM   CA","99.85","debit","Hotel","Alaska Airlines Visa Signature","","Barre De Navidad"
"1/24/2020","Cash","NON-CHASE ATM WITHDRAW","164.35","debit","Entertainment","PREMIER PLUS CKG","",""
"1/24/2020","FOREIGN EXCHANGE RATE ADJUSTMENT FEE 002110 01/24H S B C N","FOREIGN EXCHANGE RATE ADJUSTMENT","4.93","debit","Bank Fee","PREMIER PLUS CKG","",""
"1/23/2020","BAMBUZA VIETNAM KITCHEN SEA-TAC WA","BAMBUZA VIETNAM KITCHEN  SEA-TAC      WA","19.47","debit","Restaurants","Alaska Airlines Visa Signature","",""
"1/23/2020","SNAKE PIT ALE HOUSE LOS ANGELES CA","SNAKE PIT ALE HOUSE      LOS ANGELES  CA","53.00","debit","Alcohol & Bars","Alaska Airlines Visa Signature","",""
"1/23/2020","FOREIGN EXCHANGE RATE ADJUSTMENT FEE 008944 01/23H S B C N","FOREIGN EXCHANGE RATE ADJUSTMENT","3.33","debit","Bank Fee","PREMIER PLUS CKG","",""
"1/23/2020","SEATTLEUTILTIES WEB_PAY 2201 4451011020 WEB ID: 1916001275","SEATTLEUTILTIES  WEB_PAY    2201","159.58","debit","Utilities","PREMIER PLUS CKG","",""
"1/23/2020","Cash","NON-CHASE ATM WITHDRAW","110.90","debit","Entertainment","PREMIER PLUS CKG","",""
"1/23/2020","TRADE COFFEE CO DRINKTRADE.CO NY 01/18","TRADE COFFEE CO DRINKTRADE.CO NY","25.00","debit","Coffee Shops","PREMIER PLUS CKG","",""
"1/23/2020","Lyft","LYFT   *RIDE WED 7AM lyft.com CA","33.00","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"1/23/2020","Peet's Coffee","LAX PEETS COFFEE 66513 LOS ANGEL","12.80","debit","Coffee Shops","PREMIER PLUS CKG","",""
"1/22/2020","SEATTLE MUNI INT #950003 180-095-0129 WA","SEATTLE MUNI INT #950003 180-095-0129 WA","47.60","debit","Parking","Alaska Airlines Visa Signature","",""
"1/22/2020","LAX FLYAWAY LONG BEACLong Beach CA","SQ *LAX FLYAWAY LONG BEACLong Beach   CA","8.00","debit","Rental Car & Taxi","Alaska Airlines Visa Signature","",""
"1/22/2020","Starbucks","STARBUCKS STORE 19475 SEATTLE WA","11.95","debit","Coffee Shops","PREMIER PLUS CKG","",""
"1/22/2020","Lyft","LYFT   *RIDE TUE 7PM lyft.com CA","10.00","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"1/22/2020","CHECK 279","CHECK","1575.00","debit","Mortgage & Rent","PREMIER PLUS CKG","",""
"1/21/2020","Washington Post","PAYPAL           INST XFER  WASH","9.99","debit","Subscription_Service","PREMIER PLUS CKG","",""
"1/21/2020","Flying Bike","FLYING BIKE COOPERATIVE SEATTLE","11.80","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"1/21/2020","Goodwill Industries","GOODWILL BALLARD - DIR SEATTLE W","4.00","debit","Shopping","PREMIER PLUS CKG","",""
"1/21/2020","LYFT *RIDE FRI 11PM lyft.com C A 01/18","LYFT   *RIDE FRI 11PM lyft.com C","26.00","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"1/21/2020","Flying Bike","FLYING BIKE COOPERATIVE SEATTLE","27.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"1/21/2020","CHS GREENWOOD Seattle WA 01/18","SQ *CHS GREENWOOD Seattle WA","18.25","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"1/21/2020","Cash","ATM WITHDRAWAL","60.00","debit","Entertainment","PREMIER PLUS CKG","",""
"1/21/2020","CAROLINES BARBE SEATTLE WA","SQ *CAROLINES BARBE      SEATTLE      WA","48.00","debit","Hair","Alaska Airlines Visa Signature","",""
"1/21/2020","Alaska Air","ALASKA AIR  0272152757837SEATTLE      WA","1037.85","debit","Air Travel","Alaska Airlines Visa Signature","",""
"1/21/2020","Alaska Air","ALASKA AIR               SEATTLE      WA","29.00","debit","Air Travel","Alaska Airlines Visa Signature","",""
"1/21/2020","WINTERGRASS FESTIVAL 253-428-8056 WA","WINTERGRASS FESTIVAL     253-428-8056 WA","155.00","debit","Entertainment","Alaska Airlines Visa Signature","",""
"1/20/2020","PAPERLESS POST HTTPSWWW.PAPENY","PAPERLESS POST           HTTPSWWW.PAPENY","33.03","debit","Entertainment","Alaska Airlines Visa Signature","ND",""
"1/20/2020","Olympia Pizza & Spaghetti House","OLYMPIA PIZZA & SPAGHETT SEATTLE      WA","74.21","debit","Alcohol & Bars","Alaska Airlines Visa Signature","","pitchers with capshew"
"1/20/2020","Allianz","ALLIANZ TRAVEL INS       ALLIANZINS.USVA","74.68","debit","Air Travel","Alaska Airlines Visa Signature","",""
"1/20/2020","Blue Cross","EQT*Premera Blue Cross   866-2554795  WA","350.80","debit","Health Insurance","Alaska Airlines Visa Signature","",""
"1/20/2020","PAPERLESS POST HTTPSWWW.PAPENY","PAPERLESS POST           HTTPSWWW.PAPENY","33.03","debit","Entertainment","Alaska Airlines Visa Signature","ND",""
"1/17/2020","COMET TAVERN SEATTLE WA 01/15","COMET TAVERN SEATTLE WA","17.31","debit","Restaurants","PREMIER PLUS CKG","",""
"1/16/2020","Amazon","Amazon Prime*BI5YQ0W43   Amzn.com/billWA","131.02","debit","Shopping","Alaska Airlines Visa Signature","",""
"1/16/2020","Netflix","PAYPAL           INST XFER  NETF","14.26","debit","Subscription_Service","PREMIER PLUS CKG","",""
"1/16/2020","Fred Meyer","FRED MEYER 0122 SEATTLE WA","56.67","debit","Groceries","PREMIER PLUS CKG","",""
"1/16/2020","North Star Diner","NORTH STAR DINER SEATTLE WA","33.81","debit","Restaurants","PREMIER PLUS CKG","",""
"1/16/2020","Fred Meyer","FRED MEYER 0122 SEATTLE WA","2.92","debit","Groceries","PREMIER PLUS CKG","",""
"1/16/2020","INTEREST PAYMENT","INTEREST PAYMENT","0.16","credit","Interest Income","PREMIER PLUS CKG","",""
"1/16/2020","CenturyLink","CENTURYLINK      AUTO PAY","55.00","debit","Internet","PREMIER PLUS CKG","",""
"1/15/2020","CAFFE VITA Seattle WA 01/14","SQ *CAFFE VITA Seattle WA","3.48","debit","Coffee Shops","PREMIER PLUS CKG","",""
"1/15/2020","Dusty Strings Co","DUSTY STRINGS COMPANY    SEATTLE      WA","97.11","debit","Entertainment","Alaska Airlines Visa Signature","",""
"1/14/2020","Vimo Prefund Ccd","VIMO INC         PREFUND","1599.00","credit","Income","BUS COMPLETE CHK","",""
"1/13/2020","Starbucks","STARBUCKS STORE 03281 SEATTLE WA","3.25","debit","Coffee Shops","PREMIER PLUS CKG","",""
"1/13/2020","Goodwill Industries","GOODWILL BALLARD - DIR SEATTLE W","22.00","debit","Shopping","PREMIER PLUS CKG","",""
"1/13/2020","Amazon","AMZN Mktp US*QV3SB3Q Amzn.com/bi","32.75","debit","Shopping","PREMIER PLUS CKG","",""
"1/13/2020","Amazon","Amazon.com*ZG66N7J03 Amzn.com/bi","9.35","debit","Shopping","PREMIER PLUS CKG","",""
"1/13/2020","LYFT *RIDE THU 10AM lyft.com C A 01/10","LYFT   *RIDE THU 10AM lyft.com C","18.00","debit","Rental Car & Taxi","PREMIER PLUS CKG","",""
"1/13/2020","Flying Bike","FLYING BIKE COOPERATIVE SEATTLE","15.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"1/13/2020","7-Eleven","7-ELEVEN SEATTLE WA","15.38","debit","Gas & Fuel","PREMIER PLUS CKG","",""
"1/13/2020","Goodwill Industries","GOODWILL CAPITAL HILL SEATTLE WA","14.00","debit","Shopping","PREMIER PLUS CKG","",""
"1/13/2020","CHS GREENWOOD Seattle WA 01/12","SQ *CHS GREENWOOD Seattle WA","11.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
